Grouping,Blackbox,HighShrub,Lignum,LowShrub,Redgum
17.0,  4.623978,  0.000000,  0.000000, 16.850858,105.621576
17.2, 13.30652,  0.00000,  0.00000,126.04518,338.65587
17.4, 24.6027,  0.0000,  0.0000,877.3224,562.4647
17.6, 661.3647,   0.0000,   0.0000,2432.2493, 769.0042
17.8,3484.3184,   0.0000,   0.0000,6027.7317, 995.9749
18.0, 8704.882,    0.000,    0.000,10767.156, 1341.169
18.2,13293.357,    0.000,    0.000,14671.093, 2041.106
18.4,17169.10,    4.00,    0.00,21142.32, 3123.06
18.6,23620.76469,   82.73437,    0.00000,43676.27525,10361.02759
18.8, 41624.0982,   307.5664, 17561.7301,124476.8540, 38447.8759
19.0, 57441.059,  2026.242,240757.939,574955.619, 87130.920
19.2, 176282.7,  13800.6,1096688.6, 807192.8, 151420.7
19.4, 369219.12,  73138.02,1346966.12,1039150.93, 233188.12
19.6, 534937.4, 113519.5,1379123.8,1200609.0, 305960.4
19.8, 643903.5, 132968.1,1385131.8,1340200.9, 366759.2
20.0, 728121.5, 146645.6,1386267.8,1467977.7, 397259.2
20.2, 801500.0, 152552.8,1386403.8,1558541.8, 416451.8
20.4, 879157.8, 155317.8,1386913.3,1636737.8, 430096.6
20.6, 947892.0, 155475.1,1387377.5,1692425.8, 438121.3
20.8,1053712.2, 156190.2,1388637.4,1723803.4, 444560.1
21.0,1159326.8, 156510.6,1389510.4,1732201.6, 449794.3
21.2,1189227.6, 156574.6,1389640.0,1738889.4, 454785.4
21.4,1199412.9, 156574.6,1389640.0,1743077.1, 458370.2
21.6,1205151.5, 156574.6,1389640.0,1745483.1, 460687.6
21.8,1208540.8, 156574.6,1389640.0,1746546.5, 462472.1
22.0,1210358.1, 156574.6,1389640.0,1747116.3, 464209.9
22.2,1211197.5, 156574.6,1389640.0,1747462.5, 465694.6
22.4,1211513.2, 156574.6,1389640.0,1747855.5, 466744.6
22.6,1211628.5, 156574.6,1389640.0,1748087.6, 467611.7
22.8,1211666.6, 156574.6,1389640.0,1748187.3, 468253.2
23.0,1211718.1, 156574.6,1389640.0,1748189.3, 468654.6
